gene,CID,np_score
Mme,19930853,0.0100000046110921
Mme,44350054,0.0100000046110921
Mme,44349654,0.0100000046110921
Mme,44350054,0.0100000046110921
Mme,3132,0.0100000046110921
Mme,10716222,0.0100000046110921
Mme,11794860,0.0100000046110921
Mme,10786621,0.0100000046110921
Mme,11792153,0.0100000046110921
Mme,10598130,0.0100000046110921
Mme,10408079,0.0100000046110921
Mme,10738307,0.0100000046110921
Mme,10524683,0.0100000046110921
Mme,9801007,0.0100000046110921
Mme,10454029,0.0100000046110921
Mme,9998020,0.0100000046110921
Mme,10546740,0.0100000046110921
Mme,11796420,0.0100000046110921
Mme,10716323,0.0100000046110921
Mme,10503260,0.0100000046110921
Mme,10546741,0.0100000046110921
Mme,10691921,0.0100000046110921
Mme,10548557,0.0100000046110921
Mme,10737511,0.0100000046110921
Mme,9959014,0.0100000046110921
Mme,11797382,0.0100000046110921
Mme,9870100,0.0100000046110921
Mme,10785969,0.0100000046110921
Mme,10789594,0.0100000046110921
Mme,10718956,0.0100000046110921
Mme,11792153,0.0100000046110921
Mme,9886079,0.0100000046110921
Mme,10546740,0.0100000046110921
Mme,10546741,0.0100000046110921
Mme,656629,0.0100000046110921
Mme,10738308,0.0100000046110921
Mme,11794754,0.0100000046110921
Mme,10644937,0.0100000046110921
Mme,6324648,0.0100000046110921
Mme,73346963,0.0100000046110921
Mme,44321681,0.0100000046110921
Mme,44321740,0.0100000046110921
Mme,656629,0.0100000046110921
