,gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj)
4155,Rab12,-0.1522501102126438,0.4439546928469533,0.9008696265942449,0.3526613489181743,0.04533805535562132
4157,Tulp2,-0.2238644957140251,0.6020332302126172,0.9488967633225716,0.22037953648358047,0.02278103473624949
4158,Celsr3,0.3487037300178673,0.5642613956105194,0.9401064155967522,0.24851966131392822,0.026822983537897492
4160,Pcbp4,0.1351017153979004,0.7959415092322988,0.9762491762447378,0.09911884576859867,0.010439319570485236
4161,Cdca3,-2.115261917713786,0.0046442425550568,0.140371796341854,2.3330851064244476,0.8527201423738092
4162,C1qtnf12,-1.295879384270016,0.0236878181759753,0.3402925520367207,1.625474939183164,0.46814755617821713
4163,Ccndbp1,0.2801660737723637,0.2047004249976151,0.7800315489879944,0.6888812556573407,0.10788783157322873
4165,Ogfod2,0.333804926141887,0.3488457241982434,0.8699367154882387,0.4573665957993248,0.06051233946632956
4166,Mrps23,0.2223911969688225,0.4104642215704385,0.8922151348588996,0.3867246925073108,0.049530413990664664
4168,Rhebl1,0.0760238809061407,0.811560226280399,0.9803358970250662,0.09067924543639841,0.008625094480817802
4169,Sfi1,0.0067709296877453,0.9779662939705456,0.9984847337103956,0.009676113100797759,0.0006585708694119499
4171,Pigx,0.3199555298363742,0.3797849756124392,0.8804550231341977,0.42046222005628253,0.05529282448209505
4172,Pisd-ps2,0.2028669744953967,0.66845445711188,0.9580081636905622,0.17492817658266055,0.018630790054381705
4173,Tiam2,0.0846632538201599,0.8529329032973403,0.9869236346465532,0.06908513163885431,0.005716450506337219
4175,Synj2,-0.4534168617258831,0.1689010265644476,0.7422738409452899,0.7723677108202285,0.12943584449015003
4177,Gm1604b,-0.2889450743446649,0.4610538287411997,0.9068973146498972,0.3362483671037645,0.04244188405958105
4179,Agpat4,-0.0746232590593883,0.7631047412407814,0.9743132748360832,0.11741584812512933,0.011301380228809811
