gene,CID,np_score
Kit,59397065,0.010397757059735
Avpr1a,14981578,0.0100000451046304
Avpr1a,14981575,0.0100000451046304
Avpr1a,14981580,0.0100000451046304
Avpr1a,14981576,0.0100000451046304
Avpr1a,14981574,0.0100000451046304
Avpr1a,10257352,0.0100000451046304
Avpr1a,71450903,0.0100000451046304
Avpr1a,9872389,0.0100000451046304
Avpr1a,14981581,0.0100000451046304
Avpr1a,14981577,0.0100000451046304
Avpr1a,10075696,0.0100000451046304
Avpr1a,10395028,0.0100000451046304
Avpr1a,9987791,0.0100000451046304
Avpr1a,10327512,0.0100000451046304
Avpr1a,10078889,0.0100000451046304
Avpr1a,10462867,0.0100000451046304
Avpr1a,10373010,0.0100000451046304
Avpr1a,10372918,0.0100000451046304
Avpr1a,14969513,0.0100000451046304
Avpr1a,14969557,0.0100000451046304
Avpr1a,14969542,0.0100000451046304
Avpr1a,14969540,0.0100000451046304
Avpr1a,14969510,0.0100000451046304
Avpr1a,14969537,0.0100000451046304
Avpr1a,14969552,0.0100000451046304
Avpr1a,14969527,0.0100000451046304
Avpr1a,14969526,0.0100000451046304
Avpr1a,14969520,0.0100000451046304
Avpr1a,14969533,0.0100000451046304
Avpr1a,14969508,0.0100000451046304
Avpr1a,14969506,0.0100000451046304
Avpr1a,14969538,0.0100000451046304
Avpr1a,14969554,0.0100000451046304
Avpr1a,14969536,0.0100000451046304
Avpr1a,14969532,0.0100000451046304
Avpr1a,14969514,0.0100000451046304
Avpr1a,14969556,0.0100000451046304
Avpr1a,14969544,0.0100000451046304
Avpr1a,14969547,0.0100000451046304
Avpr1a,14969543,0.0100000451046304
Avpr1a,14969546,0.0100000451046304
Avpr1a,14969505,0.0100000451046304
Avpr1a,14969515,0.0100000451046304
Avpr1a,14969528,0.0100000451046304
Avpr1a,14969539,0.0100000451046304
Avpr1a,14969524,0.0100000451046304
Avpr1a,14969511,0.0100000451046304
Avpr1a,14969509,0.0100000451046304
Avpr1a,14969535,0.0100000451046304
Avpr1a,14969553,0.0100000451046304
Avpr1a,14969530,0.0100000451046304
Avpr1a,14969551,0.0100000451046304
Avpr1a,14969548,0.0100000451046304
Avpr1a,10687182,0.0100000451046304
Avpr1a,9951649,0.0100000451046304
Avpr1a,14969555,0.0100000451046304
Avpr1a,14969534,0.0100000451046304
Avpr1a,14969541,0.0100000451046304
Avpr1a,14969525,0.0100000451046304
Avpr1a,14969518,0.0100000451046304
Avpr1a,114904,0.0100000451046304
Avpr1a,14969523,0.0100000451046304
Avpr1a,14969550,0.0100000451046304
Avpr1a,14969522,0.0100000451046304
Avpr1a,14969521,0.0100000451046304
Avpr1a,14969517,0.0100000451046304
Avpr1a,14969507,0.0100000451046304
