protein1,protein2,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining,combined_score,symbol1,symbol2
ENSMUSP00000000001,ENSMUSP00000057543,0.0,0.0,49.0,43.0,576.0,900.0,444.0,974.0,Gnai3,Gnai2
ENSMUSP00000000001,ENSMUSP00000110563,0.0,0.0,0.0,53.0,136.0,900.0,338.0,938.0,Gnai3,Adcy5
ENSMUSP00000000001,ENSMUSP00000143036,0.0,0.0,0.0,0.0,0.0,900.0,420.0,939.0,Gnai3,P2ry12
ENSMUSP00000000001,ENSMUSP00000125697,0.0,0.0,0.0,0.0,374.0,650.0,214.0,812.0,Gnai3,Gng2
ENSMUSP00000000001,ENSMUSP00000105736,0.0,0.0,0.0,90.0,53.0,900.0,328.0,934.0,Gnai3,Plcb4
ENSMUSP00000000001,ENSMUSP00000058040,0.0,0.0,0.0,0.0,238.0,900.0,98.0,925.0,Gnai3,Sstr3
ENSMUSP00000000001,ENSMUSP00000104408,0.0,0.0,0.0,109.0,286.0,500.0,554.0,839.0,Gnai3,Rgs19
ENSMUSP00000000001,ENSMUSP00000103378,0.0,0.0,0.0,0.0,491.0,900.0,310.0,961.0,Gnai3,Gabbr2
ENSMUSP00000000001,ENSMUSP00000029201,0.0,0.0,0.0,44.0,0.0,900.0,147.0,911.0,Gnai3,Pik3ca
ENSMUSP00000000001,ENSMUSP00000103197,0.0,0.0,0.0,0.0,650.0,900.0,221.0,970.0,Gnai3,Lpar1
ENSMUSP00000000001,ENSMUSP00000024696,0.0,0.0,0.0,0.0,0.0,900.0,75.0,903.0,Gnai3,Mmp25
ENSMUSP00000000001,ENSMUSP00000037255,0.0,0.0,0.0,48.0,114.0,900.0,58.0,909.0,Gnai3,Grm1
ENSMUSP00000000001,ENSMUSP00000027603,0.0,0.0,0.0,56.0,437.0,500.0,395.0,817.0,Gnai3,Rgs18
ENSMUSP00000000001,ENSMUSP00000050077,0.0,0.0,0.0,0.0,491.0,900.0,67.0,948.0,Gnai3,Oprd1
ENSMUSP00000000001,ENSMUSP00000040847,0.0,0.0,0.0,0.0,214.0,900.0,300.0,940.0,Gnai3,Adrb1
ENSMUSP00000000001,ENSMUSP00000083656,0.0,0.0,0.0,0.0,289.0,900.0,227.0,940.0,Gnai3,Adora1
ENSMUSP00000000001,ENSMUSP00000085293,0.0,0.0,0.0,42.0,491.0,900.0,182.0,954.0,Gnai3,S1pr3
ENSMUSP00000000001,ENSMUSP00000029881,0.0,0.0,0.0,0.0,0.0,900.0,75.0,903.0,Gnai3,Mmp16
ENSMUSP00000000001,ENSMUSP00000088336,0.0,0.0,0.0,69.0,0.0,900.0,138.0,912.0,Gnai3,Rapgef4
ENSMUSP00000000001,ENSMUSP00000026572,0.0,0.0,0.0,66.0,137.0,900.0,309.0,936.0,Gnai3,Hras
ENSMUSP00000000001,ENSMUSP00000069080,0.0,0.0,0.0,0.0,87.0,900.0,141.0,914.0,Gnai3,Casr
ENSMUSP00000000001,ENSMUSP00000056774,0.0,0.0,0.0,43.0,0.0,900.0,138.0,910.0,Gnai3,Pik3r1
ENSMUSP00000000001,ENSMUSP00000113843,0.0,0.0,0.0,0.0,491.0,900.0,82.0,949.0,Gnai3,S1pr5
ENSMUSP00000000001,ENSMUSP00000060110,0.0,0.0,0.0,53.0,0.0,900.0,231.0,920.0,Gnai3,Kcnj9
ENSMUSP00000000001,ENSMUSP00000101315,0.0,0.0,0.0,0.0,0.0,900.0,77.0,903.0,Gnai3,Pik3cd
ENSMUSP00000000001,ENSMUSP00000052522,0.0,0.0,0.0,0.0,0.0,900.0,0.0,900.0,Gnai3,Pik3r6
ENSMUSP00000000001,ENSMUSP00000067964,0.0,0.0,0.0,69.0,279.0,900.0,639.0,972.0,Gnai3,Gpsm1
ENSMUSP00000000001,ENSMUSP00000001652,0.0,0.0,0.0,0.0,111.0,900.0,94.0,912.0,Gnai3,Bdkrb2
ENSMUSP00000000001,ENSMUSP00000053394,0.0,0.0,0.0,0.0,235.0,900.0,133.0,927.0,Gnai3,S1pr2
ENSMUSP00000000001,ENSMUSP00000139389,0.0,0.0,0.0,0.0,302.0,650.0,499.0,866.0,Gnai3,Htr1b
ENSMUSP00000000001,ENSMUSP00000005671,0.0,0.0,0.0,47.0,85.0,900.0,97.0,910.0,Gnai3,Igf1r
ENSMUSP00000000003,ENSMUSP00000138219,0.0,0.0,0.0,561.0,0.0,0.0,604.0,818.0,Pbsn,Sbp
ENSMUSP00000000010,ENSMUSP00000020692,0.0,0.0,0.0,0.0,77.0,0.0,849.0,854.0,Hoxb9,Btg2
ENSMUSP00000000028,ENSMUSP00000035164,0.0,0.0,0.0,224.0,978.0,0.0,895.0,998.0,Cdc45,Topbp1
ENSMUSP00000000028,ENSMUSP00000025704,0.0,0.0,0.0,725.0,0.0,0.0,643.0,897.0,Cdc45,Cdca5
ENSMUSP00000000028,ENSMUSP00000028831,0.0,0.0,0.0,604.0,656.0,500.0,638.0,972.0,Cdc45,Mcm8
ENSMUSP00000000028,ENSMUSP00000110802,0.0,0.0,0.0,384.0,656.0,0.0,318.0,842.0,Cdc45,Tm4sf19
ENSMUSP00000000028,ENSMUSP00000149833,0.0,0.0,0.0,310.0,920.0,0.0,805.0,988.0,Cdc45,Tipin
ENSMUSP00000000028,ENSMUSP00000030091,0.0,0.0,0.0,122.0,272.0,500.0,639.0,869.0,Cdc45,Pole3
ENSMUSP00000000028,ENSMUSP00000112871,0.0,0.0,0.0,733.0,0.0,0.0,511.0,863.0,Cdc45,Ncapg
ENSMUSP00000000028,ENSMUSP00000149953,0.0,0.0,0.0,98.0,194.0,500.0,662.0,860.0,Cdc45,Atr
ENSMUSP00000000028,ENSMUSP00000061923,0.0,0.0,0.0,777.0,978.0,900.0,675.0,999.0,Cdc45,Mcm2
ENSMUSP00000000028,ENSMUSP00000025752,0.0,0.0,0.0,518.0,60.0,500.0,686.0,919.0,Cdc45,Pola2
ENSMUSP00000000028,ENSMUSP00000045344,0.0,0.0,0.0,438.0,729.0,500.0,834.0,985.0,Cdc45,Clspn
ENSMUSP00000000028,ENSMUSP00000126135,0.0,0.0,0.0,643.0,978.0,900.0,954.0,999.0,Cdc45,Mcm5
ENSMUSP00000000028,ENSMUSP00000136972,0.0,0.0,0.0,488.0,0.0,0.0,645.0,810.0,Cdc45,Lig1
ENSMUSP00000000028,ENSMUSP00000023353,0.0,0.0,0.0,786.0,978.0,900.0,874.0,999.0,Cdc45,Mcm4
ENSMUSP00000000028,ENSMUSP00000141182,0.0,0.0,0.0,569.0,978.0,0.0,806.0,997.0,Cdc45,Wdhd1
ENSMUSP00000000028,ENSMUSP00000028858,0.0,0.0,0.0,714.0,51.0,0.0,577.0,875.0,Cdc45,Bub1
ENSMUSP00000000028,ENSMUSP00000006760,0.0,0.0,0.0,848.0,0.0,0.0,943.0,990.0,Cdc45,Cdt1
ENSMUSP00000000028,ENSMUSP00000027601,0.0,0.0,0.0,754.0,978.0,900.0,880.0,999.0,Cdc45,Mcm6
ENSMUSP00000000028,ENSMUSP00000064261,0.0,0.0,0.0,730.0,0.0,0.0,378.0,825.0,Cdc45,Kif2c
ENSMUSP00000000028,ENSMUSP00000033950,0.0,0.0,0.0,273.0,984.0,720.0,977.0,999.0,Cdc45,Gins4
ENSMUSP00000000028,ENSMUSP00000028948,0.0,0.0,0.0,438.0,978.0,720.0,914.0,999.0,Cdc45,Gins1
ENSMUSP00000000028,ENSMUSP00000128620,0.0,0.0,0.0,384.0,656.0,0.0,318.0,842.0,Cdc45,Mcmdc2
ENSMUSP00000000028,ENSMUSP00000081319,0.0,0.0,0.0,697.0,0.0,0.0,691.0,902.0,Cdc45,Cdca8
ENSMUSP00000000028,ENSMUSP00000017694,0.0,0.0,0.0,684.0,121.0,0.0,353.0,804.0,Cdc45,Atad5
ENSMUSP00000000028,ENSMUSP00000040416,0.0,0.0,0.0,790.0,0.0,0.0,471.0,884.0,Cdc45,Dlgap5
ENSMUSP00000000028,ENSMUSP00000028795,0.0,0.0,0.0,706.0,42.0,0.0,572.0,869.0,Cdc45,Rad51
ENSMUSP00000000028,ENSMUSP00000007296,0.0,0.0,0.0,287.0,889.0,500.0,914.0,996.0,Cdc45,Pole
ENSMUSP00000000028,ENSMUSP00000005607,0.0,0.0,0.0,810.0,0.0,0.0,474.0,895.0,Cdc45,Asf1b
ENSMUSP00000000028,ENSMUSP00000029270,0.0,0.0,0.0,596.0,69.0,0.0,606.0,838.0,Cdc45,Ccna2
ENSMUSP00000000028,ENSMUSP00000100050,0.0,0.0,0.0,705.0,911.0,500.0,996.0,999.0,Cdc45,Mcm10
ENSMUSP00000000028,ENSMUSP00000034094,0.0,0.0,0.0,404.0,978.0,720.0,973.0,999.0,Cdc45,Gins3
